Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills,,,
System Engineer,Experienced,Senior-Level,05-Jul,5,System Architecture; Cloud Strategy; AWS; Azure; Kubernetes; Docker; Terraform; Ansible; Linux Administration; Windows Server; Active Directory; Networking; Security Compliance; Monitoring; Grafana; Nagios; Python; PowerShell; Enterprise Architecture; Leadership,,,
System Security Engineer,Experienced,Senior-Level,5+,5,AWS IAM; Security Compliance; Firewall Management; Linux Security; PowerShell; System Security; Vulnerability Management; Security Monitoring,,,
Technical Writer,Fresher,Entry-Level,0-1,0,Technical Writing; Editing; Proofreading; Technical Documentation; Markdown; HTML; CSS; XML; CMS; Version Control; Adobe FrameMaker; MadCap Flare; API Documentation; Research; SME Interviews,,,
Technical Writer,Mid-Level,Mid-Level,03-May,3,Technical Writing; Technical Documentation; Editing; Proofreading; Agile Documentation; CMS; Version Control; Adobe FrameMaker; MadCap Flare; HTML; CSS; XML; API Documentation; Structured Authoring,,,
Technical Writer,Experienced,Senior-Level,05-Oct,5,Technical Writing; Technical Documentation; API Documentation; Structured Authoring; UX Documentation; CMS; Version Control; Adobe FrameMaker; MadCap Flare; HTML; CSS; XML; Documentation Strategy; AI Documentation Tools,,,
Test Automation Engineer,Entry-Level,Entry-Level,0–1 year,0,Manual Testing; Functional Testing; Regression Testing; Black Box Testing; Selenium WebDriver; Appium; Cypress; Postman; TestNG; Java; Python; JIRA; Bugzilla; Test Case Writing; Test Documentation,,,
Test Automation Engineer,Mid-Senior Level,Mid-Level,4–7 years,4,Manual Testing; Functional Testing; Regression Testing; Black Box Testing; Selenium WebDriver; Appium; Cypress; Postman; TestNG; Java; Python; JIRA; Bugzilla; Test Case Writing; Test Documentation,,,
Test Automation Engineer,Senior-Level,Senior-Level,6–10 years,5,Automation Framework Design; Selenium WebDriver; Appium; Cucumber; RestAssured; JMeter; LoadRunner; Jenkins; GitLab CI/CD; Docker; Java; Python; C#; TestNG; JIRA; TestRail; ALM,,,
UI Designer,Fresher,Entry-Level,0,0,UI Design; Wireframing; Prototyping; Responsive Design; Color Theory; Typography; Accessibility; Interaction Design; Usability Testing; Figma; Sketch; Adobe XD; Illustrator; Photoshop; InVision; HTML; CSS; Branding,,,
UI Designer,Experienced,Mid-Level,3,3,UI Design; Design Systems; Prototyping; Responsive Design; Accessibility; Interaction Design; Micro-Interactions; Usability Testing; User Flows; A/B Testing; Animation; Figma; Sketch; Adobe XD; After Effects; InVision; HTML; CSS; JavaScript,,,
UI Designer,Experienced,Senior-Level,5,5,UI Design; Design Systems; Interaction Design; Micro-Interactions; Accessibility; Usability Testing; User Experience Strategy; Figma; Sketch; Adobe XD; InVision; Prototyping; Team Leadership,,,
UX Analyst,Fresher,Entry-Level,0-1,0,User Research; Usability Testing; Wireframing; Prototyping; User Journey Mapping; UX Metrics; Data Analysis; Figma; InVision,,,
UX Architect,Experienced,Senior-Level,08-Oct,8,UX Architecture; UX Strategy; Information Architecture; Design Systems; Interaction Design; Prototyping; Accessibility; WCAG; Figma; Agile UX,,,
UX Designer,Fresher,Entry-Level,0-1,0,UX Design; User Research; Usability Testing; Wireframing; Prototyping; User Flows; Information Architecture; Color Theory; Typography; Layout Design; Figma; Sketch; Adobe XD; InVision; HTML; CSS,,,
UX Designer,Experienced,Mid-Level,4 years,4,UX Design; User Research; Usability Testing; Interaction Design; Journey Mapping; A/B Testing; Design Systems; Prototyping; Information Architecture; Figma; Sketch; Adobe XD; InVision; Axure; Analytics; Accessibility,,,
UX Designer,Experienced,Senior-Level,05-Jul,5,UX Strategy; UX Research; Interaction Design; Journey Mapping; Design Systems; Accessibility; WCAG Standards; A/B Testing; Analytics; Prototyping; Figma; Sketch; Adobe XD; InVision; Axure; Principle; Agile UX; Leadership; Team Leadership,,,
Vibe Coder,Junior,Entry-Level,0-1,0,AI Coding Assistants; ChatGPT; GitHub Copilot; Prompt Engineering; Python; JavaScript; HTML; CSS; React; Vue.js; Debugging; Code Review; Agile; Git,,,
Vibe Coder ,Experienced,Mid-Level,4,4,AI Coding Assistants; Prompt Engineering; Python; JavaScript; React; Vue.js; Debugging; Code Review; Agile; Git; CI/CD; Application Development; AI Code Debugging,,,
Vibe Coder,Senior,Senior-Level,5+,5,AI Coding Assistants; Prompt Engineering; Python; JavaScript; React; Vue.js; AI Code Debugging; AI-Assisted Development Workflows; Agile Leadership; Code Review; Technical Mentorship; Project Leadership,,,
Web Developer,Fresher,Entry-Level,0-1,0,HTML5; CSS3; JavaScript; AJAX; JSON; Responsive Design; Git; REST APIs; React; Angular; Vue.js; Node.js; MongoDB; SQL; PHP; Python; UI/UX Fundamentals,,,
Web Developer,Experienced,Mid-Level,3+,3,JavaScript; TypeScript; Angular; React; Vue.js; Node.js; Express.js; Django; GraphQL; REST APIs; MongoDB; SQL; Redis; Docker; Kubernetes; CI/CD; AWS; Git; Jest; Enzyme,,,
Web Developer,Experienced,Senior-Level,5+,5,JavaScript; TypeScript; Angular; React; Vue.js; Node.js; Express.js; Django; GraphQL; REST APIs; MongoDB; SQL; Redis; Docker; Kubernetes; CI/CD; AWS; Git; Jest; Enzyme; Web Architecture; Performance Optimization,,,
iOS App Developer,Fresher,Entry-Level,0,0,Swift; Objective-C; iOS Development; UIKit; Cocoa Touch; Core Data; Core Animation; Xcode; MVC; Firebase; Git; Debugging,,,
iOS Architect,Experienced,Senior-Level,5+ years,5,iOS Architecture; Swift; Objective-C; MVVM; MVP; Design Patterns; Mobile System Design; CI/CD; Performance Optimization; Core Animation,,,
iOS Developer,Fresher,Entry-Level,0,0,Swift; Objective-C; UIKit; Cocoa Touch; MVC; MVVM; REST APIs; JSON; Xcode; Interface Builder; iOS Simulator; Git; App Store Submission; UI/UX Design,,,
iOS Developer,Experienced,Mid-Level,3 years,3,Swift; Objective-C; MVVM; REST APIs; GraphQL; Core Data; CI/CD; Git; GitHub Actions; Xcode,,,
iOS Developer,Experienced,Senior-Level,5+ years,5,Swift; Objective-C; MVVM; REST APIs; Core Data; Core Animation; CI/CD; App Performance Optimization; Agile; Scrum; Xcode,,,
iOS Engineer,Fresher,Entry-Level,0,0,Swift; Objective-C; UIKit; REST APIs; JSON; Git; Xcode,,,
iOS Engineer,Experienced,Mid-Level,4 years,4,Swift; Objective-C; MVVM; Core Data; Core Animation; GraphQL; REST APIs; CI/CD; Jenkins; Crashlytics; Git; Xcode; Agile,,,
iOS Engineer,Experienced,Senior-Level,5,5,Swift; Objective-C; MVVM; Core Data; Core Animation; Firebase; Crashlytics; REST APIs; CI/CD; App Performance Optimization; Unit Testing; Agile; Xcode,,,
iOS Solutions Engineer,Fresher,Entry-Level,1,1,Swift; Objective-C; UIKit; REST APIs; JSON; Git; Xcode; iOS Simulator,,,
iOS Solutions Engineer,Experienced,Mid-Level,3-5 years,3,Swift; Objective-C; UIKit; Core Data; REST APIs; GraphQL; Performance Optimization; Instruments; Git; Xcode,,,
iOS Solutions Engineer,Experienced,Senior-Level,6,6,Swift; Objective-C; MVVM; Core Data; REST APIs; GraphQL; CI/CD; Performance Optimization; Instruments; Firebase; Git; Xcode,,,
