Title,ExperienceLevel,ExperienceLevel_Category,YearsOfExperience,YearsOfExperience_Min,All_Skills
Project Manager,Fresher,Entry-Level,0-1,0,"Adaptability; Basic budgeting; Basic budgeting and resource allocation; Basic knowledge of Waterfall and Agile; Basic knowledge of project management methodologies (Agile, Scrum, Waterfall); Basic project planning; Basic project planning and scheduling; Budgeting basics; Collaboration and teamwork; Communication; Communication and coordination; Communication and interpersonal skills; Communication skills; Critical thinking; Familiarity with Jira and Trello; Familiarity with Jira, MS Project, Trello; Familiarity with MS Project and Trello; Familiarity with Microsoft Project, Jira, Trello; Familiarity with project tools (MS Project, Trello); KPI tracking; KPI tracking and reporting basics; Multitasking; Problem-solving; Problem-solving and critical thinking; Project management methodology basics; Reporting; Reporting and documentation; Reporting basics; Resource allocation basics; Task and milestone tracking; Task scheduling; Team collaboration; Teamwork and collaboration; Time management; Understanding of Agile and Scrum methodologies; Understanding of Agile, Scrum, Waterfall"
Project Manager,Experienced,Mid-Level,3-5,3,"Advanced project planning and scheduling; Budget and resource management; Budgeting and resource allocation; Change management; Conflict resolution; Cross-functional collaboration; Data-driven reporting; Data-driven reporting and dashboards; Project scheduling and execution; Risk assessment and mitigation; Risk management and mitigation; Stakeholder communication; Stakeholder management and negotiation; Strategic alignment with business goals; Strategic project alignment; Team leadership; Team leadership and conflict resolution; Use of Jira, MS Project, Primavera; Use of MS Project, Primavera, Jira"
Project Manager,Experienced,Senior-Level,5-7,5,"Advanced budgeting and resource allocation; Advanced project management; Advanced project planning; Advanced project planning and execution; Advanced project scheduling and planning; Advanced scheduling and budgeting; Advanced scheduling, budgeting, and resource allocation; Budget and resource management; Budgeting and resource allocation; Budgeting and resource management; Change management; Conflict resolution; Cross-functional collaboration; Data-driven decision making; End-to-end project management; Project lifecycle management; Project planning and execution; Project strategy and execution; Reporting and analytics; Reporting and dashboard creation; Reporting and dashboards; Resource allocation; Risk and quality management; Risk and quality oversight; Risk assessment and mitigation; Risk management and mitigation; Scheduling and budgeting; Stakeholder communication; Stakeholder communication and engagement; Stakeholder engagement; Stakeholder engagement and communication; Stakeholder engagement and negotiation; Stakeholder management; Stakeholder management and communication; Stakeholder management and negotiation; Strategic alignment; Strategic planning; Strategic project alignment; Strategic project management; Team leadership; Team leadership and conflict resolution; Team leadership and mentoring; Team management and conflict resolution; Use of MS Project, Primavera, Jira; Use of MS Project, Primavera, Jira, Trello; Use of PM tools (MS Project, Jira, Trello, Asana); Use of project management software (MS Project, Jira, Trello, Asana); Use of project management tools (MS Project, Jira, Trello); Use of project management tools (MS Project, Jira, Trello, Asana); Use of project management tools (MS Project, Primavera, Jira, Trello, Asana)"
Python Developer,Fresher,Entry-Level,0-1,0,Adaptability; CSS basics; Communication; Control flow; Data types; Django basics; Exception handling; FastAPI basics; Flask basics; Functions; Git basics; HTML basics; JavaScript basics; Matplotlib basics; MongoDB basics; NumPy basics; OOP; OOP basics; Pandas basics; Problem-solving; PyTest basics; Python basics; SQL basics; Teamwork; unittest basics
Python Developer,Experienced,Mid-Level,3+,3,AWS basics; Async programming; Decorators; Django advanced; Docker; Docker basics; FastAPI; Flask advanced; Generators; GraphQL; GraphQL basics; Kubernetes basics; Leadership; MySQL; NoSQL; NoSQL basics; PostgreSQL; PyTest advanced; PyTorch; PyTorch basics; Python advanced; REST APIs; SQLAlchemy; Scikit-learn; Team collaboration; TensorFlow; TensorFlow basics
Python Developer,Experienced,Senior-Level,5+,5,AWS; Async programming; Decorators; Django; Django advanced; Docker; FastAPI; Flask; Flask advanced; Generators; GraphQL; Innovation; Innovation management; Kubernetes; Leadership; Metaprogramming; MySQL; NoSQL; PostgreSQL; Project management; PyTorch; Python advanced; REST APIs; SQLAlchemy; Scikit-learn; Team collaboration; TensorFlow
QA Engineer,Entry-Level,Entry-Level,0–1 year,0,"Appium basics; Automation Awareness: Selenium, Appium, Cucumber; Automation Tools Awareness: Selenium, Appium, Cucumber; Automation: Selenium, Appium, Cucumber basic knowledge; Basic Automation: Selenium WebDriver, Appium, Cucumber; Basic Automation: Selenium, Appium, Cucumber; Bugzilla; Cucumber awareness; JIRA; Java; JavaScript; JavaScript basics; Manual Testing; Manual Testing: Functional, Regression, Black-box; Postman; Postman basics; Python; Selenium basics; SoapUI; SoapUI basics; Test Documentation; TestRail"
QA Engineer,Senior-Level,Mid-Level,4–8 years,4,"API & Mobile Testing: Postman, SoapUI, Appium; Bug & Test Management: JIRA, Bugzilla, Quality Center; CI/CD Integration: Jenkins, GitLab CI/CD, Bamboo; Performance Testing: JMeter; Programming: Java, Python, C#, JavaScript; Test Automation: Selenium, Appium, Cucumber, JUnit, TestNG; Test Documentation & Reporting"
QA Engineer,Senior-Level,Senior-Level,5–9 years,5,"API & Mobile Testing: Postman, SoapUI, Appium; API Testing: Postman, SoapUI; API Testing: Postman, SoapUI, Appium; Automation: Selenium, Appium, Cucumber, JUnit, TestNG; Automation: Selenium, Appium, Cucumber, TestNG; Bug Tracking & Documentation: JIRA, Bugzilla, TestRail; Bug Tracking & Documentation: JIRA, TestRail; Bug Tracking & Documentation: JIRA, TestRail, ALM; Bug Tracking: JIRA, Bugzilla; CI/CD: Jenkins, GitLab CI/CD; CI/CD: Jenkins, GitLab CI/CD, Bamboo; Performance & Security Testing: JMeter, LoadRunner; Performance & Security Testing: Load, stress, security testing; Performance & Security Testing: Load, stress, vulnerability testing; Performance & Security Testing: LoadRunner; Performance Testing: JMeter; Performance Testing: Load, stress testing; Programming: Java, Python, C#, JavaScript; Test Automation: Selenium, Appium, Cucumber, TestNG; Test Documentation & Reporting"
Robotics Engineer,Fresher,Entry-Level,0-1,0,"Adaptability; Arduino basics; AutoCAD; AutoCAD basics; C++ basics; Communication; Dynamics; Embedded systems basics; Kinematics; LIDAR and infrared sensors basics; LIDAR and ultrasonic sensors basics; Linear algebra; MATLAB basics; Motor control; Motor control basics; PID control basics; PID controller fundamentals; PID controllers; PID fundamentals; Problem solving; Python basics; ROS basics; Raspberry Pi basics; Sensor integration basics; Sensors basics (LIDAR, ultrasonic, infrared); Servo motors basics; SolidWorks; SolidWorks basics; Teamwork"
Robotics Engineer,Experienced,Mid-Level,3+,3,"Advanced C++; Advanced CAD; Advanced Python; Arduino/Raspberry Pi advanced; C++ advanced; Control theory; Embedded systems; Embedded systems advanced; Hardware interfacing; LIDAR and vision sensors; Leadership; MATLAB; Machine learning basics for robotics; Machine learning in robotics; Problem solving; Project management; Python advanced; ROS development; Robotics control algorithms; Simulation (Gazebo, RViz); SolidWorks advanced; Team collaboration"
Robotics Engineer,Experienced,Senior-Level,5+,5,"Advanced CAD; Advanced CAD/SolidWorks; Advanced control theory; Advanced robotics control; Advanced robotics control algorithms; C++ advanced; C++ expert; CAD/SolidWorks; CAD/SolidWorks advanced; Computer vision; Control algorithms; Control algorithms advanced; Control systems advanced; Cross-functional collaboration; Cross-team collaboration; Embedded systems advanced; Embedded systems design; Embedded systems expert; Gazebo, RViz; Gazebo, RViz simulation; Hardware debugging; Hardware interfacing; Innovation; Innovation in robotics; Innovation management; Innovation strategy; Leadership; MATLAB; ML in robotics; Machine learning; Machine learning applications; Machine learning in robotics; Project leadership; Project management; Project strategy; Python advanced; Python expert; ROS advanced; ROS advanced development; ROS development; Robotics control algorithms; Robotics control theory; Sensor fusion; Sensor integration and fusion; Simulation (Gazebo, RViz); Simulation tools; Simulation tools (Gazebo, RViz); SolidWorks advanced; Team leadership; Team management; Team mentoring"
SEO Specialist,Fresher,Entry-Level,0-2,0,"AI-driven SEO tools; Advanced SEO strategy; Basic HTML/CSS; Basic link building; Content marketing; Content marketing optimization; Content optimization; Content optimization basics; Crawlability checks; Google Analytics GA4; Google Analytics basics; Google Search Console; HTML, CSS, JavaScript basics; HTML/CSS basics; Keyword research; Link building; Link building basics; Link building strategy; Local & mobile SEO; Local SEO; Local SEO basics; Looker Studio; Mobile SEO; Mobile SEO basics; Off-page SEO; Off-page SEO basics; Off-page optimization; On-page SEO; On-page SEO basics; On-page optimization; Page speed optimization; SEO copywriting; Schema markup; Schema markup and structured data; Schema markup basics; Search Console; Search Console basics; Site indexing basics; Site speed optimization; Social media SEO basics; Technical SEO; Technical SEO audits; Technical SEO basics; Visual search optimization; Voice search optimization"
SEO Specialist,Mid-Level,Mid-Level,3-5,3,"AI-driven SEO insights; AI-powered SEO analytics; Advanced content optimization; Analytics (GA4, Looker Studio); Analytics (GA4, Looker Studio, Search Console); Analytics (GA4, Search Console, Looker Studio); Content optimization; Content strategy; Content strategy and SEO copywriting; Google Analytics GA4; Link building; Link building and backlink analysis; Local SEO; Local SEO optimization; Looker Studio; Multimodal search optimization; On-page and off-page optimization; Page speed optimization; Privacy-compliant SEO; Privacy-compliant SEO (GDPR); SEO strategy; Schema markup; Schema markup implementation; Search Console; Site architecture optimization; Site speed optimization; Technical SEO; Technical SEO audits; Visual search optimization; Voice search optimization"
SEO Specialist,Experienced,Senior-Level,5-8,5,"AI and machine learning in SEO; AI-driven SEO insights; AI-driven SEO tools; AI-powered SEO tools; Advanced content strategy; Advanced on-page and off-page SEO; Advanced technical SEO; Analytics and reporting; Analytics and reporting (GA4, Looker Studio); Analytics and reporting (GA4, Looker Studio, Search Console); Content marketing optimization; Content optimization; Content strategy and SEO copywriting; Content strategy and optimization; Crawlability and indexing optimization; Crawlability, indexing, and site structure optimization; Google Analytics GA4; Link building; Link building and outreach; Link building campaigns; Link building strategy; Local SEO and voice search optimization; Local SEO optimization; Local SEO strategy; Local and mobile SEO optimization; Looker Studio; Mobile SEO optimization; Multimodal search optimization; Page speed and mobile optimization; Page speed and performance optimization; Privacy compliance (GDPR); Privacy-compliant SEO; Privacy-compliant SEO strategies; SEO strategy; SEO strategy and execution; SEO strategy and planning; SEO strategy and roadmap; SEO strategy development; Schema markup and structured data; Schema markup and structured data implementation; Search Console; Stakeholder communication; Technical SEO audits; Voice and visual search optimization"
Sales Executive,Fresher,Entry-Level,0-1,0,Active Listening; Adaptability; CRM Basics; Closing Deals; Closing Techniques; Communication; Customer Engagement; Digital Sales Awareness; Digital Sales Fundamentals; HubSpot; Lead Generation; Negotiation; Pipeline Management; Product Demonstrations; Product Demos; Product Knowledge; Relationship Building; Sales Automation Awareness; Sales Forecasting; Salesforce; Social Selling; Time Management
Sales Executive,Experienced,Senior-Level,5-10,5,Closing Techniques; Data-driven Sales; HubSpot; Lead Generation; Negotiation; Predictive Analytics; Relationship Management; Sales Automation; Salesforce; Social Selling
Security & Network Engineer,Fresher,Entry-Level,0-1,0,Cisco Routers; Firewall Basics; IDS/IPS Intro; VPN; Wireshark
Security Analyst,Fresher,Entry-Level,0-1,0,C++; Cryptography Fundamentals; GDPR Basics; ISO 27001 Basics; JavaScript Basics; Linux Commands; Metasploit; Nessus; Network Security Basics; Python; Risk Assessment Basics; Snort; Team Collaboration; Windows Security; Wireshark
Site Reliability Engineer,Fresher,Entry-Level,0-1,0,"Adaptability; Analytical thinking; Bash scripting basics; Bash/Shell scripting; Basic CI/CD; Basic CI/CD concepts; Basic automation scripts; Basic monitoring (Nagios, Grafana); CI/CD fundamentals; Cloud fundamentals (AWS, GCP, Azure); Cloud fundamentals (AWS/Azure/GCP); Cloud platform basics (AWS/Azure/GCP); Cloud platforms basics (AWS/Azure/GCP); Collaboration; Communication; Containerization basics (Docker); Docker basics; Docker fundamentals; Docker introduction; Intro to monitoring (Prometheus/Grafana); Introduction to cloud platforms; Kubernetes basics; Kubernetes introduction; Linux OS basics; Linux administration basics; Linux administration fundamentals; Linux basics; Linux fundamentals; Monitoring basics (Nagios, Grafana); Monitoring basics (Prometheus/Grafana/Nagios); Monitoring tools intro (Prometheus, Grafana); Networking basics (TCP/IP, DNS); Networking fundamentals; Problem-solving; Python basics; Shell scripting; Shell scripting (Bash/Zsh); TCP/IP networking; TCP/IP networking basics; Time management; Windows OS basics; Windows OS fundamentals; Windows fundamentals"
Site Reliability Engineer,Experienced,Mid-Level,3+,3,"Automation scripting; Bash scripting; Bash/Zsh scripting; CI/CD pipelines (Jenkins, Bamboo, GitHub Actions); Cloud platforms (AWS, Azure, GCP); Cloud platforms expert (AWS, Azure, GCP); Collaboration; Communication; Distributed systems design; Distributed systems management; Docker, Kubernetes advanced; Go programming; Infrastructure as Code (Terraform, Ansible); Infrastructure as Code (Terraform, Ansible, Puppet, Chef); Java scripting; Linux administration; Linux administration expert; Monitoring and logging (Prometheus, Grafana, ELK Stack, Nagios, Splunk); Monitoring and logging tools (Prometheus, Grafana, ELK Stack); Networking (TCP/IP, DNS, Load Balancing); Networking (TCP/IP, DNS, Load Balancing, CDN); Problem-solving; Python advanced; Security and compliance basics; Time management; Windows administration"
Site Reliability Engineer,Experienced,Senior-Level,5+,5,"AWS, Azure, GCP; AWS, Azure, GCP advanced; AWS, Azure, GCP expert; Automation; Automation and scripting; Automation scripting; Bash scripting; Bash scripting expert; Bash/Zsh scripting; CI/CD (Jenkins, Bamboo, GitHub Actions); CI/CD pipelines; CI/CD pipelines (Jenkins, Bamboo, GitHub Actions); CI/CD pipelines (Jenkins, GitHub Actions); CI/CD pipelines (Jenkins, GitHub Actions, Bamboo); CI/CD pipelines expert; CI/CD pipelines expert (Jenkins, Bamboo, GitHub Actions); Cloud (AWS, Azure, GCP); Cloud expert (AWS, Azure, GCP); Cloud platforms (AWS, Azure, GCP); Cloud platforms expert; Collaboration; Communication; Distributed systems; Distributed systems architecture; Distributed systems design; Distributed systems design and management; Docker, Kubernetes; Docker, Kubernetes advanced; Docker, Kubernetes expert; Go, Java; IaC (Terraform, Ansible); IaC (Terraform, Ansible, Puppet); IaC (Terraform, Ansible, Puppet, Chef); Infrastructure as Code (Terraform, Ansible, Puppet); Infrastructure as Code (Terraform, Ansible, Puppet, Chef); Leadership; Linux administration; Linux administration expert; Linux expert; Linux/Windows; Linux/Windows administration; Linux/Windows administration expert; Linux/Windows expert; Monitoring & logging; Monitoring & logging (Prometheus, Grafana, ELK); Monitoring & logging (Prometheus, Grafana, ELK, Nagios, Splunk); Monitoring & logging expert (Prometheus, Grafana, ELK, Nagios, Splunk); Monitoring & logging tools; Monitoring (Prometheus, Grafana, ELK Stack, Nagios, Splunk); Monitoring (Prometheus, Grafana, ELK, Nagios, Splunk); Monitoring and logging (Prometheus, Grafana, ELK Stack, Nagios, Splunk); Networking; Networking (TCP/IP, DNS, CDN, Load Balancing); Networking (TCP/IP, DNS, Load Balancing, CDN); Problem-solving; Python advanced; Python, Go; Python, Go, Java; Security and compliance; Security and compliance basics; Security and compliance knowledge; Security compliance; Time management; Windows server; Windows server administration"
Software Developer,Fresher,Entry-Level,0–1 year,0,"AWS basics; Agile/Scrum; Analytical thinking; Android Studio; Angular; Azure basics; C++; CI/CD; CSS; Collaboration; Communication; Django; Docker; Git; HTML; Java; JavaScript; JavaScript/TypeScript; Kotlin; Kubernetes; ML libraries (scikit-learn, pandas); NoSQL; Node.js; Problem-solving; Python; React; SQL; Spring Boot; Swift; Teamwork; Vue.js; Xcode"
Software Developer,Experienced,Mid-Level,3–5 years,3,AWS; Agile/Scrum; Angular; C#; CI/CD; Docker; Git; Java; Kubernetes; NoSQL; Node.js; Python; React; SQL; Vue.js
Software Developer,Experienced,Senior-Level,5–7 years,5,AWS; Agile; Agile/Scrum; Angular; Azure; C#; C++; CI/CD; Docker; Git; Java; Kubernetes; Microservices; NoSQL; Node.js; Python; React; SQL; Team Leadership
Software Engineer,Fresher,Entry-Level,0-2,0,APIs; Algorithms; Angular; Azure; C++; CSS; Cybersecurity Basics; Data Structures; Django; Docker; Figma; Game Development; Git; GitHub; HTML; IntelliJ; IoT Basics; Java; JavaScript; Jira; Jupyter Notebook; Machine Learning Basics; MongoDB; MySQL; Node.js; Postman; PyCharm; Python; REST APIs; React; Responsive Design; Rust; SQL; Trello; Unity; VS Code; Visual Studio; Vue.js
Software Engineer,Experienced,Mid-Level,3–5,3,AWS; Agile; Angular; CI/CD; CSS; Debugging; Django; Docker; Git; HTML; Java; JavaScript; Kubernetes; Mentoring; Node.js; Python; REST APIs; React; SQL; Spring Boot; Team Leadership; Testing; TypeScript; Unit Testing
Software Engineer,Experienced,Senior-Level,5–7,5,AWS; Agile; Angular; CI/CD; CSS; Django; Docker; Express; Git; HTML; Java; JavaScript; Kubernetes; Machine Learning; Mentoring; Microservices; MongoDB; Node.js; PostgreSQL; Python; REST APIs; React; Redux; SQL; Spring Boot; Team Leadership; Testing; TypeScript
Software Tester (SDET),Fresher,Entry-Level,0-1,0,API testing; API testing basics; Agile understanding; Agile/Scrum knowledge; Agile/Scrum understanding; Attention to detail; Basic Jenkins; C# basics; Communication; Cypress basics; Functional and regression testing; Functional testing; JMeter basics; Java basics; Jenkins basics; Postman; Postman basics; Problem-solving; Python basics; Regression testing; Selenium WebDriver basics; Selenium basics; Teamwork
Software Tester (SDET),Experienced,Mid-Level,3+,3,"API Testing advanced; Advanced Java; Advanced Python; Agile leadership; Appium; C# advanced; CI/CD integration; CI/CD integration (Jenkins, Bamboo); Code review; Cross-team collaboration; Cypress; JMeter; Mentoring; Performance and load testing; Performance testing; Selenium WebDriver; Team collaboration; Test automation strategy; Test data management; TestNG"
Software Tester (SDET),Experienced,Senior-Level,5+,5,"API Testing; API Testing advanced; Advanced Java; Advanced Python; Agile leadership; Appium; Automation strategy; C# advanced; CI/CD (Jenkins, Bamboo, Azure DevOps); CI/CD integration; CI/CD integration (Jenkins, Azure DevOps); Code review; Cross-team collaboration; Cypress; Defect management metrics; Defect metrics; JMeter; Mentoring; Metrics-driven QA; Performance and load testing; Performance testing; Python advanced; Selenium WebDriver; Strategic QA planning; Team collaboration; Team mentoring; Test automation; Test data management; TestNG"
Solutions Architect,Fresher,Entry-Level,0-1,0,AWS basics; AWS fundamentals; Azure basics; Azure fundamentals; Basic CI/CD; Basic CI/CD and DevOps exposure; Basic architecture design; Basic container orchestration knowledge; Basic microservices understanding; Basic security and compliance awareness; Basic security awareness; CI/CD basics; CI/CD fundamentals; CI/CD introduction; Communication; Docker fundamentals; Docker/Kubernetes basics; Docker/Kubernetes fundamentals; GCP basics; GCP fundamentals; Google Cloud fundamentals; Introductory Docker/Kubernetes knowledge; Introductory Node.js knowledge; Introductory microservices knowledge; Introductory security awareness; Java basics; Java fundamentals; JavaScript fundamentals; Kubernetes fundamentals; Node.js basics; Problem-solving; Python basics; Python fundamentals; Team collaboration; Teamwork
Solutions Architect,Experienced,Mid-Level,3+,3,AWS; Azure; CI/CD; CI/CD pipelines; CloudFormation; Collaboration; Docker; GCP; Java; Kubernetes; Leadership; Microservices; Node.js; Problem-solving; Project leadership; Project management; Python; Security compliance; Security protocols; Stakeholder engagement; Stakeholder management; Terraform
Solutions Architect,Experienced,Senior-Level,5+,5,AWS; Azure; CI/CD; CI/CD pipelines; CloudFormation; Docker; GCP; Java; Kubernetes; Leadership; Microservices; Node.js; Project management; Python; Security compliance; Security protocols; Stakeholder engagement; Stakeholder management; Terraform
Swift Developer,Fresher,Entry-Level,0,0,Git; Objective-C Basics; Swift; UI/UX Guidelines; Xcode
System Engineer,Fresher,Entry-Level,0-1,0,AWS Fundamentals; Azure Fundamentals; Bash Scripting; Cloud Basics; Cloud Concepts; Linux; Linux Administration Basics; Linux Basics; Monitoring Tools; Networking; Networking Basics; Networking Fundamentals; Perl Basics; Python; Python Basics; Scripting Fundamentals; TCP/IP; VMware; VirtualBox; Windows Server; Windows Server Basics
System Engineer,Experienced,Mid-Level,3-5,3,AWS; Active Directory; Ansible; Automation Scripts; Azure; CI/CD; Docker; Grafana; Hyper-V; Kubernetes; Linux; Linux Administration; Nagios; Networking; Python Scripting; Terraform; VMware; Windows Server
System Engineer,Experienced,Senior-Level,5-7,5,AWS; Active Directory; Ansible; Azure; Cloud Strategy; Docker; Enterprise Architecture; Grafana; Kubernetes; Leadership; Linux; Nagios; PowerShell; Python; Security Compliance; System Architecture; Terraform; Windows Server
System Security Engineer,Experienced,Senior-Level,5+,5,AWS IAM; Compliance; Firewalls; Linux Security; PowerShell
Technical Writer,Fresher,Entry-Level,0-1,0,AI Writing Tools; Adaptability; Adobe FrameMaker; Agile Documentation; Attention to Detail; Basic HTML; Basic HTML/CSS; CMS; CMS Basics; Clear Writing; Collaboration; Editing; Grammar and Style; HTML/CSS/XML; Interviewing SMEs; MadCap Flare; Markdown; Proofreading; Research Skills; Technical Accuracy; Technical Writing; Time Management; Version Control
Technical Writer,Mid-Level,Mid-Level,3-5,3,AI Writing Tools; Adobe FrameMaker; Agile Documentation; CMS; Editing; HTML/CSS/XML; MadCap Flare; Proofreading; Technical Writing; Version Control
Technical Writer,Experienced,Senior-Level,5-10,5,AI-assisted Documentation; API Documentation; Adobe FrameMaker; Advanced Editing; Advanced Technical Writing; CMS; MadCap Flare; Proofreading; Structured Authoring; Technical Documentation; UX Documentation; Version Control; XML/HTML/CSS
Test Automation Engineer,Entry-Level,Entry-Level,0–1 year,0,Appium; Appium basics; Black-box testing; Bugzilla; Cypress; Cypress basics; Functional testing; JIRA; Java; Java basics; JavaScript basics; Manual testing concepts; Postman basics; Python; Python basics; Regression testing; Selenium; Selenium WebDriver; Selenium basics; Test case writing; Test documentation; TestNG; TestNG basics
Test Automation Engineer,Mid-Senior Level,Mid-Level,4–7 years,4,Appium; C#; Cucumber; Docker; GitLab CI/CD; JIRA; JMeter; Java; Jenkins; Postman; Python; RestAssured; Selenium; TestRail
Test Automation Engineer,Senior-Level,Senior-Level,6–10 years,5,ALM; Appium; C#; Cucumber; Docker; GitLab; GitLab CI/CD; JIRA; JMeter; Java; Jenkins; LoadRunner; Postman; Python; RestAssured; Selenium; TestNG; TestRail
UI Designer,Fresher,Entry-Level,0,0,Accessibility; Adobe XD; Branding; Branding Basics; CSS; Color Theory; Figma; HTML; Illustrator; InVision; Interaction Design; Micro-Interactions; Photoshop; Prototyping; Responsive Design; Responsive Layouts; Sketch; Typography; UI Basics; UI/UX Design Basics; Usability Basics; Usability Testing; Wireframing
UI Designer,Experienced,Mid-Level,3,3,A/B Testing; Accessibility; Adobe XD; After Effects; Animation; Branding; CSS; Design Systems; Figma; HTML; InVision; JS; Principle; Prototyping; Responsive Design; Sketch; UI/UX Collaboration; Usability Testing; User Flows
UI Designer,Experienced,Senior-Level,5,5,Accessibility; Adobe XD; Design Systems; Figma; InVision; Interaction Design; Leadership; Micro-Interactions; Sketch; Team Leadership; Usability Testing
UX Analyst,Fresher,Entry-Level,0-1,0,Figma; InVision; Prototyping; User Research Basics; Wireframes
UX Architect,Experienced,Senior-Level,8-10,8,Agile UX; Design Systems; Figma; Information Architecture; Prototyping; WCAG
UX Designer,Fresher,Entry-Level,0-1,0,Adobe XD; Basic Usability Testing; CSS Basics; Color Theory; Figma; HTML Basics; InVision; Information Architecture; Information Architecture Basics; Layout Design; Prototyping; Sketch; Team Collaboration; Typography; Usability Testing; User Flows; User Research; User Research Basics; Wireframes; Wireframing
UX Designer,Experienced,Senior-Level,5-7,5,A/B Testing; Accessibility; Accessibility Standards; Adobe XD; Agile UX; Analytics; Axure; Design Systems; Design Thinking; Figma; InVision; Information Architecture; Interaction Design; Journey Mapping; Leadership; Principle; Prototyping; Sketch; Team Leadership; UX Research; User Research; WCAG Standards
Vibe Coder,Junior,Entry-Level,0-1,0,"AI coding assistant proficiency; AI coding assistant usage; AI coding assistant usage (ChatGPT, Copilot); AI coding assistants; AI-assisted code evaluation; Adaptability; Agile project management; CSS basics; Code evaluation; Code evaluation and debugging; Code review basics; Collaboration; Communication; Creative problem solving; Critical thinking; Debugging; Debugging AI outputs; Debugging AI-generated code; HTML basics; HTML/CSS basics; JavaScript advanced; JavaScript basics; Problem-solving; Project management basics; Prompt crafting basics; Prompt creation; Prompt engineering; Prompt engineering basics; Prompt engineering fundamentals; Prompt optimization; Python advanced; Python basics; React basics; React frameworks; React/Vue frameworks; Ruby basics; Task planning with Jira/Trello; Team collaboration; Teamwork; Vue basics; Vue frameworks"
Vibe Coder,Senior,Senior-Level,5+,5,AI coding assistant mastery; Agile; Agile oversight; Agile workflow management; Agile workflow oversight; Code evaluation and debugging advanced; Collaboration; Communication; Creativity; Cross-functional collaboration; Debugging AI outputs; Debugging AI-generated code; Innovation management; JavaScript expert; Mentoring; Problem-solving; Project leadership; Project management Agile; Prompt engineering advanced; Prompt engineering expert; Python expert; React/Vue expert; React/Vue frameworks advanced; React/Vue frameworks expert; Ruby advanced; Ruby basics; Strategic planning; Team management
Web Developer,Fresher,Entry-Level,0-1,0,AJAX; Angular basics; CSS3; Git; GitHub basics; HTML5; JSON; JavaScript; MongoDB basics; MySQL basics; Node.js basics; PHP basics; Python basics; REST APIs; RESTful APIs; React basics; Responsive Design; UI/UX fundamentals; Vue.js basics
Web Developer,Experienced,Mid-Level,3+,3,AWS; Angular; CI/CD; Django; Docker; Express.js; GraphQL; JavaScript; Kubernetes; MongoDB; Node.js; REST APIs; React; Redis; SQL; Testing with Jest; Testing with Jest/Enzyme; TypeScript; Vue.js
Web Developer,Experienced,Senior-Level,5+,5,AWS; Angular; CI/CD; Django; Docker; Express.js; GraphQL; JavaScript; Kubernetes; MongoDB; Node.js; REST APIs; React; Redis; SQL; Testing frameworks; Testing with Jest/Enzyme; TypeScript; Vue.js
iOS App Developer,Fresher,Entry-Level,0,0,Basic Debugging; Cocoa Touch; Core Animation; Core Data; Firebase; Git; Jenkins; MVC; Objective-C; Swift; UIKit; Xcode
iOS Architect,Experienced,Senior-Level,5+ years,5,CI/CD; Core Animation; JIRA; MVP; MVVM; Objective-C; Swift
iOS Developer,Fresher,Entry-Level,0,0,App Store Submission; Cocoa Touch; Git; Interface Builder; JSON Handling; MVC; MVVM; Objective-C; REST APIs; Simulator; Swift; UI/UX Basics; UIKit; Xcode
iOS Developer,Experienced,Mid-Level,3 years,3,CI/CD; Core Data; GitHub Actions; GraphQL; MVVM; Objective-C; Swift
iOS Developer,Experienced,Senior-Level,5+ years,5,Agile/Scrum; App Performance Optimization; CI/CD; Core Animation; Core Data; MVVM; Objective-C; REST APIs; Swift
iOS Engineer,Fresher,Entry-Level,0,0,Git; JSON; Objective-C; REST APIs; Swift
iOS Engineer,Experienced,Mid-Level,4 years,4,Agile; CI/CD; Core Animation; Core Data; Core Text; CoreGraphics; Crashlytics; GraphQL; JIRA; Jenkins; Objective-C; Swift; Xcode
iOS Mobile App Engineer,Experienced,Senior-Level,5 years,5,Crashlytics; Firebase; Kotlin; MVVM; Objective-C; Swift; Unit Testing
iOS Mobile Developer,Fresher,Entry-Level,0,0,Cocoa Touch; Git; JSON; Objective-C; REST APIs; Simulator; Swift; UI/UX Design; UIKit; Xcode
iOS Solutions Engineer,Experienced,Mid-Level,3-5 years,3,Core Data; GraphQL; Objective-C; Performance Tuning; Swift; Xcode Instruments
